# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.325                   	smoothSolver	6.5457099999999997e-03	2.4393399999999999e-06	3	9.1483399999999996e-03	4.2361400000000002e-06	3	false	smoothSolver	8.7309900000000001e-04	1.8013499999999999e-06	2	true	smoothSolver	7.3185799999999999e-03	1.4798400000000000e-06	3	true	GAMG	1.0668700000000000e-02	1.0304400000000001e-03	1	true
0.33                    	smoothSolver	6.7412300000000000e-03	4.9898099999999999e-06	3	1.0683099999999999e-02	6.0419300000000001e-06	3	false	smoothSolver	8.6965700000000003e-04	1.8091700000000000e-06	2	true	smoothSolver	7.2410699999999996e-03	1.4430600000000000e-06	3	true	GAMG	3.6176700000000001e-01	1.3392200000000000e-02	2	true
0.335                   	smoothSolver	6.2889900000000004e-03	2.3476000000000002e-06	3	9.0687600000000004e-03	4.3317999999999998e-06	3	false	smoothSolver	8.6901600000000002e-04	1.7729700000000000e-06	2	true	smoothSolver	7.1604700000000004e-03	1.4353200000000000e-06	3	true	GAMG	1.0273400000000000e-02	2.5749699999999998e-04	2	true
0.34                    	smoothSolver	6.1138000000000000e-03	2.3017400000000002e-06	3	8.8234899999999998e-03	4.3779299999999996e-06	3	false	smoothSolver	8.6807699999999998e-04	1.7690100000000000e-06	2	true	smoothSolver	7.0792900000000002e-03	1.3850200000000000e-06	3	true	GAMG	1.0586600000000000e-02	1.0581099999999999e-03	1	true
0.345                   	smoothSolver	5.9805400000000003e-03	2.2556999999999998e-06	3	8.7032299999999993e-03	4.4518299999999999e-06	3	false	smoothSolver	8.6485299999999995e-04	1.7616700000000000e-06	2	true	smoothSolver	6.9962000000000002e-03	1.3686600000000001e-06	3	true	GAMG	9.5113600000000000e-03	2.4786300000000002e-04	2	true
0.35                    	smoothSolver	5.8597600000000003e-03	2.2190400000000001e-06	3	8.6667199999999993e-03	4.5293400000000002e-06	3	false	smoothSolver	8.6051900000000002e-04	1.7544300000000001e-06	2	true	smoothSolver	6.9109899999999997e-03	1.3566000000000001e-06	3	true	GAMG	9.1152999999999998e-03	2.7581900000000001e-04	2	true
0.355                   	smoothSolver	5.9859400000000004e-03	5.1310999999999999e-06	3	1.0329500000000000e-02	6.9866400000000004e-06	3	false	smoothSolver	8.5537000000000005e-04	1.7444599999999999e-06	2	true	smoothSolver	6.8218100000000002e-03	1.3610100000000000e-06	3	true	GAMG	3.6194500000000002e-01	1.4870899999999999e-02	2	true
0.36                    	smoothSolver	5.6413399999999999e-03	2.1896400000000000e-06	3	8.7190500000000008e-03	4.7249799999999999e-06	3	false	smoothSolver	8.4886900000000003e-04	1.7313200000000000e-06	2	true	smoothSolver	6.7334400000000003e-03	1.3512099999999999e-06	3	true	GAMG	1.0122300000000001e-02	3.7730600000000000e-04	2	true
0.365                   	smoothSolver	5.4918099999999997e-03	2.1998500000000002e-06	3	8.5115000000000000e-03	4.8322899999999996e-06	3	false	smoothSolver	8.4281500000000001e-04	1.7132000000000000e-06	2	true	smoothSolver	6.6544500000000001e-03	1.3457099999999999e-06	3	true	GAMG	8.9285000000000007e-03	3.1233200000000002e-04	2	true
0.37                    	smoothSolver	5.4116299999999997e-03	2.2039499999999999e-06	3	8.4676300000000003e-03	4.8717800000000000e-06	3	false	smoothSolver	8.3541900000000001e-04	1.6912600000000000e-06	2	true	smoothSolver	6.5781099999999999e-03	1.3400099999999999e-06	3	true	GAMG	9.1096000000000007e-03	3.4579000000000001e-04	2	true
